Wine Name,Grape,Popularity,Score,Avg Price(nzd)
"Saint Clair Omaka Reserve Chardonnay, Marlborough, NZ",Chardonnay,16989,89,33
"Marks & Spencer Clocktower Pinot Noir, Marlborough, NZ",Pinot Noir,16989,87,21
"Te Mata Estate Vineyards Sauvignon Blanc, Hawke's Bay, NZ",Sauvignon Blanc,17198,89,23
"Palliser Estate Pencarrow Pinot Noir, Martinborough, NZ",Pinot Noir,17198,88,23
"Clearwater Cove Sauvignon Blanc, Awatere Valley, NZ",Sauvignon Blanc,17314,86,12
"Black Cottage Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,17314,87,20
"Rippon Mature Vine Riesling, Wanaka, NZ",Riesling,17314,92,43
"The Flying Winemaker Sauvignon Blanc, Wairarapa, NZ",Sauvignon Blanc,17557,89,20
"Hunky Dory Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,17557,87,20
"Babich Wines The Patriarch, Gimblett Gravels, NZ",Bordeaux Blend,17704,90,78
"Frenzy Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,17704,87,18
"Church Road Grand Reserve Cabernet Sauvignon - Merlot,Hawke's Bay, NZ",Cabernet Sauvignon,17805,91,37
"Mussel Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,17805,86,18
"Smith and Sheth 'Cru' Kawarau Pinot Noir, NZ",Pinot Noir,17805,92,55
"Yealands Pinot Noir, Marlborough, NZ",Pinot Noir,17948,87,21
"Destiny Bay 'Destinae', Waiheke Island, NZ",Bordeaux Blend,18166,91,162
"Loveblock Pinot Noir, Central Otago, NZ",Pinot Noir,18166,89,39
"Akitu 'A1' Pinot Noir, Central Otago, NZ",Pinot Noir,18291,90,66
"Waipapa Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,18291,88,18
"Neudorf Sauvignon Blanc, Nelson, NZ",Sauvignon Blanc,18291,89,27
"Selaks Reserve Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,18291,87,14
"Wild Earth Pinot Noir, Central Otago, NZ",Pinot Noir,18291,89,41
"Escarpment Kupe Chardonnay, Martinborough, NZ",Chardonnay,18291,89,51
"Stone Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,18413,86,18
"Bilancia La Collina Syrah, Hawke's Bay, NZ",Syrah,18413,92,129
"Lawson's Dry Hills Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,18553,88,20
"Destiny Bay 'Mystae', Waiheke Island, NZ",Bordeaux Blend,18678,92,318
"Felton Road Bannockburn Riesling, Bannockburn, NZ",Riesling,18822,91,41
"Smith and Sheth 'Cru' Wairau Sauvignon Blanc, Wairau Valley,NZ",Sauvignon Blanc,18822,91,31
"Pyramid Valley Vineyards Pinot Noir, Central Otago, NZ",Pinot Noir,18822,92,51
"Monkey Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,18946,85,12
"Peregrine Pinnacle Pinot Noir, Central Otago, NZ",Pinot Noir,18946,92,156
"Greywacke Chardonnay, Marlborough, NZ",Chardonnay,19084,91,49
"Opawa Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,19202,87,21
"Neudorf Rosie's Block Chardonnay, Nelson, NZ",Chardonnay,19202,90,39
"Ata Rangi Craighall Chardonnay, Martinborough, NZ",Chardonnay,19347,92,61
"The Infamous Goose Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,19347,87,21
"Urlar Pinot Noir, Gladstone, NZ",Pinot Noir,19347,88,37
"Saint Clair Pioneer Block 14 Doctor's Creek Pinot Noir,Marlborough, NZ",Pinot Noir,19502,89,35
"Ata Rangi 'Raranga' Sauvignon Blanc, Martinborough, NZ",Sauvignon Blanc,19502,89,35
"Neudorf Tom's Block Pinot Noir, Nelson, NZ",Pinot Noir,19502,89,37
"Providence Private Reserve Merlot - Cabernet Franc -Malbec, Matakana, NZ",Bordeaux Blend,19656,91,195
"Mahi Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,19830,89,25
"Esk Valley Merlot - Cabernet Sauvignon - Malbec, Gimblett Gravels, NZ",Bordeaux Blend,19830,89,25
"Villa Maria Single Vineyard Keltern Chardonnay, Hawke's Bay, NZ",Chardonnay,20142,90,55
"Kumeu River Village Pinot Noir, Kumeu, NZ",Pinot Noir,20142,87,25
"Kusuda Syrah, Martinborough, NZ",Syrah,20142,92,152
"Coopers Creek Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20288,87,20
"Forrest The Doctors' Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20288,87,20
"Esk Valley Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20288,87,20
"Spy Valley Satellite Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20288,87,18
"Kim Crawford Chardonnay, NZ",Chardonnay,20288,86,21
"Puriri Hills Pope, Clevedon, NZ",Bordeaux Blend,20288,93,160
"Villa Maria Reserve Pinot Noir, Marlborough, NZ",Pinot Noir,20288,90,39
"Te Mata Estate Cape Crest Sauvignon Blanc, Hawke's Bay, NZ",Sauvignon Blanc,20444,90,33
"Picton Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20444,86,12
"Seifried Old Coach Road Sauvignon Blanc, Nelson, NZ",Sauvignon Blanc,20444,88,20
"Saint Clair Vicar's Choice Sauvignon Blanc Bubbles,Marlborough, NZ",Sauvignon Blanc,20615,89,27
"Framingham Pinot Noir, Marlborough, NZ",Pinot Noir,20615,89,41
"Giesen Riesling, Marlborough, NZ",Riesling,20615,88,14
"Sileni Estates Cellar Selection Pinot Noir, Hawke's Bay, NZ",Pinot Noir,20786,86,21
"Te Henga Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,20786,85,20
"Craggy Range Merlot, Gimblett Gravels, NZ",Merlot,20786,89,39
"Seresin 'Leah' Pinot Noir, Marlborough, NZ",Pinot Noir,20786,89,37
"Schubert Pinot Noir, Wairarapa, NZ",Pinot Noir,20786,88,55
"Sunshine Bay Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,21114,87,20
"Wooing Tree Beetle Juice Pinot Noir, Central Otago, NZ",Pinot Noir,21114,88,25
"Fickle Mistress Pinot Noir, Central Otago, NZ",Pinot Noir,21114,90,23
"Schubert B Block Pinot Noir, Wairarapa, NZ",Pinot Noir,21277,91,70
"Pegasus Bay Merlot - Cabernet Sauvignon, Waipara, NZ",Cabernet Sauvignon,21277,89,33
"Valli Wines Bendigo Vineyard Pinot Noir, Bendigo, NZ",Pinot Noir,21277,91,68
"Hole In The Water Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,21449,88,18
"Pulpo Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,21604,87,16
"Sea Pearl Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,21604,86,18
"Catalina Sounds Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,21604,89,23
"Felton Road Block 6 Chardonnay, Central Otago, NZ",Chardonnay,21782,91,74
"Two Rivers 'Tributary' Pinot Noir, Marlborough, NZ",Pinot Noir,22145,90,31
"Matua Lighter Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,22325,85,16
"TWR Te Whare Ra Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,22325,89,23
"Villa Maria Reserve Cabernet Sauvignon - Merlot, Gimblett Gravels, NZ",Bordeaux Blend,22325,90,39
"Felton Road Bannockburn Chardonnay, Central Otago, NZ",Chardonnay,22512,91,59
